client_id	path	sentence	up_votes	down_votes	age	gender	accents	locale	segment
a04fe6dc85f58e515911e1e4cbfaa8bf0aa437d5ef6a6ee9d0172fa5b56ab08fd97a0eb394a0903faf8fa36a6c73b267a75a24b88a4ede4157c39a22804d0cd4	common_voice_sw_31855776.mp3	Nkidhi hasira dhake mara ningii ni furaha a ntonyi.	0	2	twenties	male		sw	
8e43727102aa6fcf5dd568b7c899c10215e599bf0ba9fe88a21828030cce38bc0f390434576be82d42b3addacd3e9c02008eb9ad8d58c0419fd95046f11ff140	common_voice_sw_31893031.mp3	Atafudhae hupacha.	0	2				sw	
8e43727102aa6fcf5dd568b7c899c10215e599bf0ba9fe88a21828030cce38bc0f390434576be82d42b3addacd3e9c02008eb9ad8d58c0419fd95046f11ff140	common_voice_sw_31893318.mp3	Ng’ombe ukimbidhie na ndoo idovoni.	1	2				sw	
8e43727102aa6fcf5dd568b7c899c10215e599bf0ba9fe88a21828030cce38bc0f390434576be82d42b3addacd3e9c02008eb9ad8d58c0419fd95046f11ff140	common_voice_sw_31896120.mp3	Mtu akiwa na mimba na akipata Korona inakuwa kwake ni thaqili sana	0	2				sw	
07302c312dc2a24edfa672adf54cf0cf16f2d23f231cd2b25e38d445f98b346a4e706b5ae842b691e68bcd25b65e2fdddd9a76bf825e50c72ce859ca18aeee37	common_voice_sw_31896636.mp3	Imbwa nkali udirisiwa ufie	1	2				sw	
9ee879a1b367e04356a78f3ff0c132d9baae13889db8ccf6dbf724aecfda6b58aadd81213b862a7b046f065b18e5f58cb6e119576fc83dc8fdd74daa6d53a730	common_voice_sw_31896838.mp3	Kijaliwa tafunga saumu angu.	1	3	twenties	female		sw	
25a3b88bc7f9dd2606352b25b2520167ae620f0d3639a4ccb764d19240a829a22a2a5d79526031706b3ba6c198f36f54d138e5156c749ef4a1f531e9c0f56f73	common_voice_sw_31903534.mp3	Ndhungu akitembea akivonekana pwani mara ningii havai shati wala suruwali huvaa kastumu.	0	2				sw	
8d119d3c22059afecab42218688d0e07ef5c41f41027226070c17bd7e6338214d24864b308aa59e505bd2bae357c4e414d86d227d85f81b4f867db42f589c926	common_voice_sw_31903747.mp3	Meli ya MV. Spice yezama mwaka 2011	0	2	twenties	male		sw	
4a574662c2671fd653b989b76e93981b1c4974bfe1ffb1df7580244309161d90c2d7439bf21f12566c8af2bb654b31f6769a20562172952a499623073ed398a2	common_voice_sw_31909400.mp3	Maryam njoo unzimie taa	0	4	twenties	female	My accept is to recognize and record different sounds and voices,Especial in swahili,Normal Arusha accent	sw	
4a574662c2671fd653b989b76e93981b1c4974bfe1ffb1df7580244309161d90c2d7439bf21f12566c8af2bb654b31f6769a20562172952a499623073ed398a2	common_voice_sw_31909445.mp3	Kilio huliya mwenye na mtu mbali kaliya	0	4	twenties	female	My accept is to recognize and record different sounds and voices,Especial in swahili,Normal Arusha accent	sw	
4a574662c2671fd653b989b76e93981b1c4974bfe1ffb1df7580244309161d90c2d7439bf21f12566c8af2bb654b31f6769a20562172952a499623073ed398a2	common_voice_sw_31909555.mp3	Chakula hichi chadhuru watu.	4	4	twenties	female	My accept is to recognize and record different sounds and voices,Especial in swahili,Normal Arusha accent	sw	
4a574662c2671fd653b989b76e93981b1c4974bfe1ffb1df7580244309161d90c2d7439bf21f12566c8af2bb654b31f6769a20562172952a499623073ed398a2	common_voice_sw_31909765.mp3	Udi wake wanuka vibaya	0	4	twenties	female	My accept is to recognize and record different sounds and voices,Especial in swahili,Normal Arusha accent	sw	
be240b83284ebe2031459675f68e675bd6d08b96f6346091ac04fa9c961a26c36af7b29b80500313eaa033e3c08c7a2ba5ae223f4de41a715a98a165ba9e97a5	common_voice_sw_31910232.mp3	Huwezi kusema naskia wivu?	0	4	twenties	male		sw	
4a574662c2671fd653b989b76e93981b1c4974bfe1ffb1df7580244309161d90c2d7439bf21f12566c8af2bb654b31f6769a20562172952a499623073ed398a2	common_voice_sw_31910240.mp3	Waswahili wasema damu ni nzito kuliko maji	4	4	twenties	female	My accept is to recognize and record different sounds and voices,Especial in swahili,Normal Arusha accent	sw	
28d58f112d8c8d8f0142787356a99f8fdbc493edc7a404fea3eea7e28f71030a0276e37cc662fbe2398119614202810c17683e2b4e89f0899f3a7b795319d171	common_voice_sw_31949663.mp3	"Licha ya kufeli mwalimu, etutia moyo kwamba tutapasi"	0	2	fourties	male		sw	
25a3b88bc7f9dd2606352b25b2520167ae620f0d3639a4ccb764d19240a829a22a2a5d79526031706b3ba6c198f36f54d138e5156c749ef4a1f531e9c0f56f73	common_voice_sw_32092195.mp3	Meli ya MV. Spice yezama mwaka 2011	0	2				sw	
475f2578a5f5660a698f0a3b3191521a25e035d23753f2e16ecccab0cfe423093354009603845ff3f541b2da508bbbebf92893536e253a5909aba57e11b39de4	common_voice_sw_32093393.mp3	Alichwambia alimasi hupachikana makokoni kwenye ncho nrefu.	0	2				sw	
dfeec5bcf7c45b2d05cf333c19ed80c4740c1b852c29ba3e483d528c9416a4c9decd44d1a0e0d00d775df9a5396114e40ae863c458c083b8e737e8332e1c431e	common_voice_sw_32194043.mp3	Kama rucho achuambiavo kadhi ni kadhi chama chake hunena hiya.	1	2				sw	
dfeec5bcf7c45b2d05cf333c19ed80c4740c1b852c29ba3e483d528c9416a4c9decd44d1a0e0d00d775df9a5396114e40ae863c458c083b8e737e8332e1c431e	common_voice_sw_32194878.mp3	Fikiriga kabla kujatenda.	0	3				sw	
0db4a397cb09ccb24b6eff667d8939849198d25a98a11f0989c6b39076f565c46bdcadc678583eea57da3d810d15159c8c2796277b08c74956f08956d263aa4d	common_voice_sw_32201550.mp3	Aendelee kunikimbiya tu lakini nikimtiya mkononi atakula vikoto	2	4				sw	
4e0524c28c216f38fa6f4fec91c92c0124fa21e7f1d3ffcd95a121f95704ae8e63700ff447cc48e0bdf8ad7e52cb534d811cfff9f9702d919ad711f678d1fc52	common_voice_sw_32202483.mp3	Vana va nasari huandika na kalamu a kipande	0	4				sw	
6721fb7d10613f22a6f109625b56f59426565e06952e8321e842b30e68fd155008c7e3a13f51a3b2f882e1fafdbb3649c169569d6d1c0918d2802ef4ae386c07	common_voice_sw_32207948.mp3	Meli ya MV. Spice yezama mwaka 2011	0	2				sw	
25a3b88bc7f9dd2606352b25b2520167ae620f0d3639a4ccb764d19240a829a22a2a5d79526031706b3ba6c198f36f54d138e5156c749ef4a1f531e9c0f56f73	common_voice_sw_32209753.mp3	Wanasiasa wako wanacheka kwa Pamoja.	3	3				sw	
0ca177a68dc516312ca3f61880d1ba4ec88c8dd072ae17ac0effee6ea7f56b374620a42bbb6d90694c352df4560c838f6cffecee9e00a818afafc4e7cd530ea4	common_voice_sw_32212790.mp3	Sikiliza wosia wa baba na mama	0	2	thirties	male		sw	
