sentence	sentence_id	locale	reason
Kuja hapa na ukae chini	eb71790730ea26af4b2a9591cf87266bab31b886afba55b71b83061710c4d323	sw	grammar-or-spelling
Tangu kale anaheshimiwa kama watakatifu.	800cda50ab06f993a6b073fef90a248da7fa1948277f18081e48aef6d7b933bd	sw	grammar-or-spelling
Mara nyingi tunapewa neema ya mwanga, kwa mfanof.	6b12677c497ea724d1c3a9c13fd211b511ebfa353cbd3432d1bc9fb4059eec83	sw	grammar-or-spelling
Mwenye kujihusisha ma mipango mingi tu mjini pale, Bagamoyo.	9326c42bfe17a40ca56ab55431c87395cce3f270c5363630abc9654494a68595	sw	grammar-or-spelling
Uwanja wa ndege wa kimataifa kiko nje ya mji.	6cfd54ae815f274fbe8fb40621cc66d41601ad95eef17149fd85d1fbb1fe2f88	sw	grammar-or-spelling
Ni eneo lenye joto kubwa na yabisi katika Kenya.	85231e5a77131490c8ba550d6c0d4216d81ae7cc6e14b320a50ddf58455f4f88	sw	grammar-or-spelling
Ni eneo lenye joto kubwa na yabisi katika Kenya.	85231e5a77131490c8ba550d6c0d4216d81ae7cc6e14b320a50ddf58455f4f88	sw	Sentensi hii ina kosa la kisarufi badala ya kuanza na ni sentensi ingeanza kwa eneo
Upande wa dini, nchi haina dini rasmi.	8c30721c528be6458bfb759e16bb4f599321776bc442e8ca4842ff3abcaa97e7	sw	grammar-or-spelling
Isichanganywe na lugha ya Kilele nchini Chad.	8efe676dd6178408f762bd74cc85d5fa1db9788915d093efccde9b84bfad16fa	sw	grammar-or-spelling
Kwa bahati nzuri nyimbo hiyo ya kwanza ilifanya vizuri.	7a9bb9f4f49478bbdc577704b18b4b1d977b7d862f09fd5af1902b186bc31d30	sw	Sentensi haina kosa lolote
Alikuwa mwanachama wa Chama cha Jamhuri cha Marekani.	8e34c6d6a53498e66650d34fc2f6c76cc1b8356470675d2bec7f6e78b39007b5	sw	grammar-or-spelling
Alikuwa mwanachama wa Chama cha Jamhuri cha Marekani.	8e34c6d6a53498e66650d34fc2f6c76cc1b8356470675d2bec7f6e78b39007b5	sw	Neno chama lilistahili kuanza Kwa herufi ndogo
